gemeentecode,gemeentenaam,inwoners,pct_65plus,pct_65_80,pct_80plus,n_65plus,n_65plus_met_valrisico,n_65plus_at_risk_met_visusproblematiek,n_vallen_65plus,potentieel_vallen_door_visusproblematiek_65plus,sterfgevallen_door_visusproblematiek_65plus,kosten_ernstige_vallen_65plus,kosten_ernstige_vallen_visusproblematiek_65plus,n_65_80,n_65_80_met_valrisico,n_65_80_at_risk_met_visusproblematiek,n_vallen_65_80,potentieel_vallen_door_visusproblematiek_65_80,sterfgevallen_door_visusproblematiek_65_80,kosten_ernstige_vallen_65_80,kosten_ernstige_vallen_visusproblematiek_65_80,n_80plus,n_80plus_met_valrisico,n_80plus_at_risk_met_visusproblematiek,n_vallen_80plus,potentieel_vallen_door_visusproblematiek_80plus,sterfgevallen_door_visusproblematiek_80plus,kosten_ernstige_vallen_80plus,kosten_ernstige_vallen_visusproblematiek_80plus
307,Amersfoort,163937,0.16699999999999998,0.128,0.039,27377,9034,1807,6505,1686,7,7102119,368182,20984,6925,1385,4986,1293,6,5444119,282360,6394,2110,422,1519,394,2,1658786,86040
308,Baarn,25370,0.255,0.182,0.073,6469,2135,427,1537,398,2,1678440,86914,4617,1524,305,1098,285,1,1198099,62237,1852,611,122,439,114,1,480340,24895
310,De Bilt,43763,0.248,0.172,0.076,10853,3581,716,2578,668,3,2815219,145875,7527,2484,497,1789,464,2,1952808,101327,3326,1098,220,792,205,1,863198,44767
312,Bunnik,16410,0.22699999999999998,0.16,0.067,3725,1229,246,886,230,1,966184,50227,2626,867,173,623,162,1,681596,35377,1099,363,73,263,68,0,285374,14850
313,Bunschoten,22836,0.17600000000000002,0.133,0.043,4019,1326,265,954,247,1,1042441,53939,3037,1002,200,720,187,1,787727,40836,982,324,65,234,61,0,254714,13321
317,Eemnes,10105,0.228,0.174,0.054000000000000006,2304,760,152,547,142,1,597477,31009,1758,580,116,418,108,0,455970,23585,546,180,36,130,34,0,141508,7425
321,Houten,50945,0.196,0.162,0.034,9985,3295,659,2372,615,3,2590379,134301,8253,2723,545,1962,509,2,2140698,111153,1732,572,114,410,106,0,449680,23148
327,Leusden,32179,0.243,0.184,0.059000000000000004,7819,2580,516,1858,482,2,2028278,105257,5921,1954,391,1408,365,2,1536146,79707,1899,627,125,450,117,1,492919,25550
331,Lopik,14780,0.19399999999999998,0.151,0.043,2867,946,189,680,176,1,743702,38434,2232,737,147,529,137,1,579396,29918,636,210,42,151,39,0,165092,8517
335,Montfoort,13780,0.218,0.16399999999999998,0.054000000000000006,3004,991,198,713,185,1,779079,40400,2260,746,149,536,139,1,586471,30354,744,246,49,176,46,0,193394,10045
